YQ,natural_flow,VIF_MLR,VIF_LSTM,VIF_LSTM_MLR
1986-1,487,487.2139275470249,489.1685033333333,489.1685033333333
1986-2,1175,1216.6560295135653,1196.9302866666667,1196.9302866666667
1986-3,705,703.5467741869764,690.1113033333332,690.1113033333332
1986-4,216,187.98053381520057,176.98936,187.98053381520057
1987-1,377,350.1089425011798,349.98733999999996,348.8552203059155
1987-2,1284,1299.0083877889965,1291.3026,1291.3026
1987-3,526,532.1610874176056,528.7988799999999,528.7988799999999
1987-4,175,206.16868002130778,205.65291333333334,206.6515423509463
1988-1,355,328.7465620638231,348.6908766666667,348.6908766666667
1988-2,767,747.4950167772836,713.0060833333333,713.0060833333333
1988-3,919,908.2276834098643,930.9793333333333,930.9793333333333
1988-4,238,233.0065890746595,241.23960000000002,236.84479481007648
1989-1,559,486.7609121212668,497.97760666666665,497.97760666666665
1989-2,2141,2234.2316166785813,2107.5579666666667,2107.5579666666667
1989-3,1259,1244.8855641975235,1260.8239,1260.8239
1989-4,261,257.7270709014316,266.17296333333337,266.17296333333337
1990-1,510,452.99013859993755,466.33628666666664,466.33628666666664
1990-2,850,796.5974888842471,797.9796200000001,797.9796200000001
1990-3,750,714.3198343628729,733.2638133333334,733.2638133333334
1990-4,271,182.28643336427774,189.81512666666666,185.5738297777342
1991-1,370,313.93167784154673,318.28307,314.5188259683998
1991-2,872,866.9292520554527,845.6486333333332,845.6486333333332
1991-3,620,632.1038896508829,631.8155966666667,631.8155966666667
1991-4,223,183.60478954818987,188.58379333333335,183.60478954818987
1992-1,381,340.18120910972294,357.2948966666667,347.66062493946765
1992-2,1190,1240.4525262715772,1219.0854533333334,1219.0854533333334
1992-3,871,873.4644440802863,869.0384066666667,869.0384066666667
1992-4,206,205.74859110695948,213.65441666666666,211.20917200384125
1993-1,525,484.73196705716714,490.81006,490.81006
1993-2,1346,1377.8136040465786,1353.0036333333335,1353.0036333333335
1993-3,779,798.8630657208611,816.8150133333334,816.8150133333334
1993-4,216,178.97921327526083,194.52479333333335,178.97921327526083
1994-1,520,439.42309896573346,454.51281333333327,454.51281333333327
1994-2,927,960.1436916562637,945.0026766666666,945.0026766666666
1994-3,540,585.3239383477279,594.2749533333333,594.2749533333333
1994-4,238,175.943960734922,186.31683666666666,181.6151980628944
1995-1,461,425.88802959058376,432.6308466666666,422.60338147624196
1995-2,724,739.2758512075087,719.3978533333333,719.3978533333333
1995-3,761,737.2703384707057,760.661,760.661
1995-4,186,168.39599577624907,192.11671,168.39599577624907
1996-1,407,364.98569379645414,387.1197366666667,387.1197366666667
1996-2,795,761.2804638785846,744.9176699999999,744.9176699999999
1996-3,543,572.3487024240654,594.09362,594.09362
1996-4,186,162.87085109527558,174.17661999999999,162.87085109527558
1997-1,475,442.9987973917817,460.8419633333333,460.8419633333333
1997-2,855,767.1621865015398,748.0977566666667,748.0977566666667
1997-3,440,476.40693884300134,479.42822,479.42822
1997-4,150,190.0112723345869,201.58005333333335,189.71513577445523
1998-1,382,396.28983896998625,404.24957333333333,391.68551445329257
1998-2,926,961.4230285445647,960.4011,960.4011
1998-3,790,874.8254752569554,891.9354133333333,891.9354133333333
1998-4,164,215.1975263179855,222.13358333333335,214.52165344778754
1999-1,271,302.7527401285033,316.03528666666665,316.03528666666665
1999-2,1623,1763.4323455912936,1735.6756666666668,1735.6756666666668
1999-3,802,879.4011011476233,900.99058,900.99058
1999-4,164,189.33512383641536,198.15216666666666,189.33512383641536
2000-1,346,350.9346530884316,357.81901,357.81901
2000-2,778,867.3106817372068,871.6776,871.6776
2000-3,547,654.0048347556522,663.59012,663.59012
2000-4,176,170.9213065748003,178.83337666666668,170.9213065748003
2001-1,380,321.160696129501,333.00514,324.9694109781163
2001-2,855,680.2562813526206,676.9673333333334,676.9673333333334
2001-3,608,691.1440131029116,703.7248066666666,703.7248066666666
2001-4,187,152.87959272676355,152.38507666666666,152.87959272676355
2002-1,395,255.4151806655385,258.39321333333334,254.63118081948446
2002-2,900,717.1629762601433,707.42819,707.42819
2002-3,640,341.3535297181764,332.8159166666667,334.32468431519044
2002-4,196,161.7472617830372,152.32711666666668,161.7472617830372
2003-1,410,269.84309097536897,264.0544433333333,261.07341719827036
2003-2,943,870.340509660586,854.3000999999999,854.3000999999999
2003-3,663,1006.6477823241389,1020.8261133333334,1020.8261133333334
2003-4,206,194.75573759521478,178.12240333333332,194.75573759521478
2004-1,366,263.452360645098,252.61090666666666,257.5901792604647
2004-2,820,781.6839310165507,762.53821,762.53821
2004-3,580,827.6893179174832,841.9528266666666,841.9528266666666
2004-4,187,215.16747167822632,215.84639,214.53966012776417
2005-1,600,399.9415199028374,404.15995,398.82527281937035
2005-2,1375,1468.27897251328,1429.0886,1429.0886
2005-3,975,1254.2699742447965,1263.7205999999999,1263.7205999999999
2005-4,298,231.61478418992394,229.92862,234.16672204626195
2006-1,353,306.06497564626466,330.0959966666667,330.0959966666667
2006-2,800,720.6424515418956,707.1863999999999,707.1863999999999
2006-3,570,654.7584270746294,650.1371633333333,650.1371633333333
2006-4,175,189.30633192587138,195.20436000000004,191.6864916473357
2007-1,475,292.78722834987724,284.1405466666667,284.1405466666667
2007-2,1067,1215.4407683693416,1223.3730466666666,1223.3730466666666
2007-3,760,813.9411825113148,829.7982666666667,829.7982666666667
2007-4,235,218.36257293339887,232.34775,215.86724721363657
2008-1,420,326.40191454837833,335.3809866666667,335.3809866666667
2008-2,950,834.2708966125753,838.1450466666666,838.1450466666666
2008-3,680,928.4323673258715,948.1242666666667,948.1242666666667
2008-4,212,283.1688008696223,282.13567333333333,286.65310966169255
2009-1,590,481.8401576317404,486.7480933333333,486.7480933333333
2009-2,1330,1481.4721896541694,1440.5551666666668,1440.5551666666668
2009-3,943,1201.4524737895006,1208.3948333333333,1208.3948333333333
2009-4,290,248.73366387661403,256.59725,256.59725
2010-1,495,342.98712361781554,357.3830966666667,357.3830966666667
2010-2,1130,1395.006232416773,1397.7403666666667,1397.7403666666667
2010-3,801,613.8635480202689,613.8184433333333,613.8184433333333
2010-4,247,247.07023258440415,239.62524333333332,240.07431894898514
2011-1,490,374.1100489885371,363.09797333333336,363.09797333333336
2011-2,1120,1231.0523369055986,1216.4844666666665,1216.4844666666665
2011-3,795,917.0444133120345,901.9753666666666,901.9753666666666
2011-4,241,260.78844865102195,260.1371466666667,260.1371466666667
2012-1,642,551.3277431943512,544.9937566666666,544.9937566666666
2012-2,1460,1995.1357606400416,1938.4988333333333,1938.4988333333333
2012-3,1030,850.1683443261658,855.4609999999999,855.4609999999999
2012-4,320,253.9417631162834,248.48199999999997,248.36140727034453
2013-1,442,460.1084405633574,440.88438666666667,440.88438666666667
2013-2,990,1252.0467947438362,1239.7028666666668,1239.7028666666668
2013-3,700,602.2398193723938,591.9797199999999,591.9797199999999
2013-4,221,213.13452964962275,214.31286666666665,202.14456817485748
2014-1,472,338.7531476108482,345.53828999999996,345.53828999999996
2014-2,1070,1028.0011082842977,995.3861333333334,995.3861333333334
2014-3,760,1021.6230724620171,1031.3066166666665,1031.3066166666665
2014-4,230,241.50054862144034,232.2621333333333,240.02318065782197
2015-1,355,315.27502486194624,311.8132933333333,311.8132933333333
2015-2,795,870.2525513013697,872.4561333333335,872.4561333333335
2015-3,570,614.0723565137316,603.4326866666667,603.4326866666667
2015-4,178,196.08383378813178,188.80391,193.4060781781333
